filename,num_person,num_bag,overlap_count,suspicious_overlap_density,person_to_bag_ratio,unique_classes,is_crowded,is_shoplifting
normal_00000.jpg,0,5,0,0.0,0.0,5,0,0
normal_00001.jpg,0,4,0,0.0,0.0,4,0,0
normal_00002.jpg,0,5,0,0.0,0.0,5,0,0
normal_00003.jpg,0,3,0,0.0,0.0,3,0,0
normal_00004.jpg,0,4,0,0.0,0.0,4,0,0
normal_00005.jpg,0,4,0,0.0,0.0,4,0,0
normal_00006.jpg,0,4,0,0.0,0.0,4,0,0
normal_00007.jpg,0,5,0,0.0,0.0,5,0,0
normal_00008.jpg,0,4,0,0.0,0.0,4,0,0
normal_00009.jpg,0,5,0,0.0,0.0,5,0,0
normal_00010.jpg,0,5,0,0.0,0.0,5,0,0
normal_00011.jpg,0,5,0,0.0,0.0,5,0,0
normal_00012.jpg,0,4,0,0.0,0.0,4,0,0
normal_00013.jpg,0,4,0,0.0,0.0,4,0,0
normal_00014.jpg,0,3,0,0.0,0.0,3,0,0
normal_00015.jpg,0,4,0,0.0,0.0,4,0,0
normal_00016.jpg,0,4,0,0.0,0.0,4,0,0
normal_00017.jpg,0,4,0,0.0,0.0,4,0,0
normal_00018.jpg,0,5,0,0.0,0.0,5,0,0
normal_00019.jpg,0,4,0,0.0,0.0,4,0,0
normal_00020.jpg,0,4,0,0.0,0.0,4,0,0
normal_00021.jpg,0,5,0,0.0,0.0,5,0,0
normal_00022.jpg,0,4,0,0.0,0.0,4,0,0
normal_00023.jpg,0,4,0,0.0,0.0,4,0,0
normal_00024.jpg,0,5,0,0.0,0.0,5,0,0
normal_00025.jpg,0,5,0,0.0,0.0,5,0,0
normal_00026.jpg,0,5,0,0.0,0.0,5,0,0
normal_00027.jpg,0,4,0,0.0,0.0,4,0,0
normal_00028.jpg,0,4,0,0.0,0.0,4,0,0
normal_00029.jpg,0,4,0,0.0,0.0,4,0,0
normal_00030.jpg,0,4,0,0.0,0.0,4,0,0
normal_00031.jpg,0,5,0,0.0,0.0,5,0,0
normal_00032.jpg,0,4,0,0.0,0.0,4,0,0
normal_00033.jpg,0,4,0,0.0,0.0,4,0,0
normal_00034.jpg,0,5,0,0.0,0.0,5,0,0
normal_00035.jpg,0,5,0,0.0,0.0,5,0,0
normal_00036.jpg,0,5,0,0.0,0.0,5,0,0
normal_00037.jpg,0,4,0,0.0,0.0,4,0,0
normal_00038.jpg,0,4,0,0.0,0.0,4,0,0
normal_00039.jpg,0,4,0,0.0,0.0,4,0,0
normal_00040.jpg,0,4,0,0.0,0.0,4,0,0
normal_00041.jpg,0,5,0,0.0,0.0,5,0,0
normal_00042.jpg,0,5,0,0.0,0.0,5,0,0
normal_00043.jpg,0,5,0,0.0,0.0,5,0,0
normal_00044.jpg,0,5,0,0.0,0.0,5,0,0
normal_00045.jpg,0,5,0,0.0,0.0,5,0,0
normal_00046.jpg,0,4,0,0.0,0.0,4,0,0
normal_00047.jpg,0,5,0,0.0,0.0,5,0,0
normal_00048.jpg,0,4,0,0.0,0.0,4,0,0
normal_00049.jpg,0,4,0,0.0,0.0,4,0,0
normal_00050.jpg,0,5,0,0.0,0.0,5,0,0
normal_00051.jpg,0,5,0,0.0,0.0,5,0,0
normal_00052.jpg,0,5,0,0.0,0.0,5,0,0
normal_00053.jpg,0,5,0,0.0,0.0,5,0,0
normal_00054.jpg,0,5,0,0.0,0.0,5,0,0
normal_00055.jpg,0,5,0,0.0,0.0,5,0,0
normal_00056.jpg,0,5,0,0.0,0.0,5,0,0
normal_00057.jpg,0,5,0,0.0,0.0,5,0,0
normal_00058.jpg,0,5,0,0.0,0.0,5,0,0
normal_00059.jpg,0,5,0,0.0,0.0,5,0,0
normal_00060.jpg,0,5,0,0.0,0.0,5,0,0
normal_00061.jpg,0,5,0,0.0,0.0,5,0,0
normal_00062.jpg,0,5,0,0.0,0.0,5,0,0
normal_00063.jpg,0,4,0,0.0,0.0,4,0,0
normal_00064.jpg,2,6,2,0.3168216127019563,0.3333333333333333,5,0,0
normal_00065.jpg,2,7,2,0.35549311944586764,0.2857142857142857,4,0,0
normal_00066.jpg,2,8,2,0.33235290116707306,0.25,4,0,0
normal_00067.jpg,2,7,2,0.3895243031660053,0.2857142857142857,5,0,0
normal_00068.jpg,2,7,2,0.40599156167211436,0.2857142857142857,4,0,0
normal_00069.jpg,2,8,3,0.7983452693134111,0.25,5,0,0
normal_00070.jpg,2,8,2,0.37520842891639405,0.25,4,0,0
normal_00071.jpg,2,10,2,0.365528708241314,0.2,5,0,0
normal_00072.jpg,2,7,2,0.3725961642343239,0.2857142857142857,4,0,0
normal_00073.jpg,2,9,2,0.38901863269229375,0.2222222222222222,5,0,0
normal_00074.jpg,2,8,2,0.44417855405810547,0.25,5,0,0
normal_00075.jpg,2,8,2,0.4249053781065035,0.25,3,0,0
normal_00076.jpg,2,8,2,0.39691916755982704,0.25,3,0,0
normal_00077.jpg,2,6,2,0.34821821700247585,0.3333333333333333,3,0,0
normal_00078.jpg,2,6,2,0.32116343094663347,0.3333333333333333,3,0,0
normal_00079.jpg,2,6,2,0.3626658965094175,0.3333333333333333,3,0,0
normal_00080.jpg,2,5,1,0.19163590923323304,0.4,3,0,0
normal_00081.jpg,2,6,1,0.22564016748928253,0.3333333333333333,4,0,0
normal_00082.jpg,2,8,2,0.36511115563625623,0.25,4,0,0
normal_00083.jpg,2,7,1,0.23633993731122652,0.2857142857142857,4,0,0
normal_00084.jpg,2,5,1,0.2237780928512075,0.4,3,0,0
normal_00085.jpg,2,7,1,0.22069663682820334,0.2857142857142857,4,0,0
normal_00086.jpg,2,7,1,0.22662289664623445,0.2857142857142857,4,0,0
normal_00087.jpg,2,6,1,0.24060347660745632,0.3333333333333333,4,0,0
normal_00088.jpg,2,5,1,0.22983175440313378,0.4,3,0,0
normal_00089.jpg,2,7,1,0.21122260375314705,0.2857142857142857,4,0,0
normal_00090.jpg,2,8,2,0.4643111412219848,0.25,4,0,0
normal_00091.jpg,2,8,2,0.48151469854403356,0.25,4,0,0
normal_00092.jpg,2,7,2,0.4617666869090855,0.2857142857142857,4,0,0
normal_00093.jpg,2,7,1,0.2433525747398049,0.2857142857142857,5,0,0
normal_00094.jpg,2,7,1,0.24479668807626648,0.2857142857142857,4,0,0
normal_00095.jpg,2,5,1,0.23618433576159464,0.4,3,0,0
normal_00096.jpg,2,6,1,0.23035199956421937,0.3333333333333333,4,0,0
normal_00097.jpg,2,6,1,0.2373660670348247,0.3333333333333333,4,0,0
normal_00098.jpg,2,5,1,0.24195313425884826,0.4,3,0,0
